journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
17575230,6524e7e8-6293-4b3f-a6cc-14326dcb936a,2023-08-20T16:20:00+02:00,2023-08-20,16:20:00,1.08,49.421,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T16:50:00+02:00,2023-08-20,16:50:00,1.207,49.276,27701,27,Val-de-Reuil,CA Seine-Eure,France,1,C,30617,32,NON
17576016,61b43e88-8762-42e4-be42-86c5837373e6,2023-08-20T16:20:00+02:00,2023-08-20,16:20:00,1.049,49.274,76640,76,Saint-Pierre-l̬s-Elbeuf,M̩tropole Rouen Normandie,France,2023-08-20T17:00:00+02:00,2023-08-20,17:00:00,1.102,49.431,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,29555,41,NON
17576018,61b43e88-8762-42e4-be42-86c5837373e6,2023-08-20T16:20:00+02:00,2023-08-20,16:20:00,1.051,49.271,76640,76,Saint-Pierre-l̬s-Elbeuf,M̩tropole Rouen Normandie,France,2023-08-20T17:00:00+02:00,2023-08-20,17:00:00,1.103,49.432,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,29884,42,NON
17575184,e8b24841-9787-4865-9f8c-72c41bb5e0b9,2023-08-20T16:40:00+02:00,2023-08-20,16:40:00,1.031,49.394,76497,76,Petit-Couronne,M̩tropole Rouen Normandie,France,2023-08-20T17:00:00+02:00,2023-08-20,17:00:00,1.093,49.44,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,8480,16,NON
17575192,1f941f13-ecfb-4075-aa39-718bd36bfc25,2023-08-20T16:40:00+02:00,2023-08-20,16:40:00,1.023,49.384,76497,76,Petit-Couronne,M̩tropole Rouen Normandie,France,2023-08-20T17:00:00+02:00,2023-08-20,17:00:00,1.091,49.443,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,9644,20,NON
17575226,a2f773d5-c284-46fb-be69-763cbe860bc3,2023-08-20T16:40:00+02:00,2023-08-20,16:40:00,1.152,49.435,76599,76,Saint-L̩ger-du-Bourg-Denis,M̩tropole Rouen Normandie,France,2023-08-20T17:00:00+02:00,2023-08-20,17:00:00,1.063,49.446,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,7724,17,NON
17575338,85cfd65b-0596-4799-992d-cfdc47ff57e3,2023-08-20T16:50:00+02:00,2023-08-20,16:50:00,1.112,49.447,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T17:10:00+02:00,2023-08-20,17:10:00,1.212,49.577,76583,76,Saint-Germain-sous-Cailly,CC Inter-Caux-Vexin,France,1,C,25565,24,NON
17575415,0d4d1c2e-ba42-49b3-87f3-4a6b40fcf4e3,2023-08-20T16:50:00+02:00,2023-08-20,16:50:00,0.861,49.275,27062,27,Les Monts du Roumois,CC Roumois Seine,France,2023-08-20T17:20:00+02:00,2023-08-20,17:20:00,1.073,49.434,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,29475,29,NON
17575332,2e3ad8f5-e3e4-4def-961e-453466af83fb,2023-08-20T17:00:00+02:00,2023-08-20,17:00:00,1.068,49.444,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T17:20:00+02:00,2023-08-20,17:20:00,1.095,49.408,76681,76,Sotteville-l̬s-Rouen,M̩tropole Rouen Normandie,France,1,C,6913,20,NON
17575482,6cf2d59e-02e6-4494-b146-d1cfb282e7f2,2023-08-20T17:10:00+02:00,2023-08-20,17:10:00,1.22,49.494,76509,76,Pr̩aux,CC Inter-Caux-Vexin,France,2023-08-20T17:30:00+02:00,2023-08-20,17:30:00,1.096,49.438,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,14257,23,NON
17575534,9f69dfe6-cbb1-4439-acb5-5e8583b28c90,2023-08-20T17:20:00+02:00,2023-08-20,17:20:00,1.21,49.384,76116,76,Boos,M̩tropole Rouen Normandie,France,2023-08-20T17:40:00+02:00,2023-08-20,17:40:00,1.092,49.428,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,15205,23,NON
